,EF_,BBS_F_BK_,LU_S_dis_,SJ_BK_,SYN_U_,AS_L_WA_,BBS_S_BK_,SS_S_LT_,SS_F_LT_,BS_F_FT_,SJ_RT_,AS_L_NA_,BA_R_WA_,TR_F_,FR_R_NA_,UP,BBS_S_FT_,CU_R_NA_,FR_R_WA_,TOS_S_,BSS_F_BK_,BSS_S_BK_,BS_S_BK_,BA_R_NA_,LD_F_small_,BJ_LT_,TB_S_,BJ_RT_,LU_S_big_,SS_S_BK_,BS_S_FT_,BS_F_LT_,TA_,CU_R_WA_,BSS_F_FT_,SS_F_FT_,TF_F_,SYN_K_,LU_F_big_,BJ_BK_,TB_S_FB_,TOS_F_,AR_,CH_,BS_F_BK_,SJ_FT_,SS_S_FT_,SS_S_RT_,SYN_B_,BSS_S_FT_,TF_S_,LD_F_dis_,SS_F_RT_,SYN_R_,TL_S_,LD_S_dis_,LU_F_dis_,SS_F_BK_,BS_F_RT_,BBS_F_FT_,RV_R_S_,BS_S_LT_,BJ_FT_,TL_F_,RV_R_F_,SB_R_WA_,SB_R_NA_,SJ_LT_,SYN_S_,TR_S_,TB_F_FB_,LD_S_small_,BS_S_RT_
EF_,1.0,0.694,0.811,0.883,0.933,0.925,0.651,0.884,0.891,0.884,0.887,0.918,0.857,0.793,0.932,0.653,0.654,0.95,0.86,0.854,0.707,0.68,0.884,0.88,0.838,0.837,0.747,0.852,0.825,0.883,0.877,0.892,0.808,0.868,0.687,0.894,0.841,0.767,0.825,0.887,0.718,0.833,0.819,0.914,0.885,0.89,0.888,0.89,0.594,0.67,0.858,0.857,0.896,0.887,0.808,0.85,0.808,0.891,0.891,0.716,0.852,0.89,0.88,0.802,0.821,0.817,0.823,0.868,0.822,0.838,0.714,0.84,0.887
BBS_F_BK_,0.694,1.0,0.701,0.707,0.752,0.769,0.893,0.776,0.734,0.74,0.754,0.734,0.678,0.649,0.634,0.604,0.89,0.705,0.689,0.655,0.895,0.923,0.747,0.637,0.659,0.681,0.751,0.734,0.698,0.792,0.759,0.728,0.68,0.786,0.912,0.745,0.624,0.623,0.626,0.702,0.799,0.6,0.678,0.726,0.724,0.704,0.795,0.787,0.276,0.919,0.706,0.743,0.755,0.789,0.655,0.769,0.645,0.752,0.776,0.879,0.709,0.749,0.688,0.599,0.698,0.696,0.674,0.679,0.721,0.703,0.715,0.72,0.79
LU_S_dis_,0.811,0.701,1.0,0.876,0.811,0.834,0.7,0.833,0.825,0.819,0.839,0.832,0.86,0.811,0.811,0.709,0.706,0.764,0.867,0.803,0.707,0.696,0.832,0.843,0.897,0.855,0.723,0.826,0.925,0.818,0.811,0.854,0.898,0.811,0.699,0.828,0.83,0.742,0.915,0.871,0.715,0.823,0.906,0.771,0.833,0.84,0.814,0.816,0.697,0.693,0.821,0.932,0.819,0.816,0.836,0.928,0.945,0.824,0.828,0.691,0.821,0.854,0.816,0.854,0.824,0.87,0.838,0.867,0.814,0.82,0.726,0.892,0.81
SJ_BK_,0.883,0.707,0.876,1.0,0.912,0.907,0.694,0.909,0.907,0.913,0.858,0.926,0.871,0.796,0.863,0.682,0.709,0.889,0.912,0.83,0.721,0.687,0.911,0.825,0.92,0.818,0.767,0.818,0.914,0.916,0.931,0.919,0.9,0.88,0.714,0.909,0.824,0.751,0.881,0.96,0.724,0.821,0.878,0.849,0.909,0.917,0.914,0.923,0.69,0.694,0.88,0.928,0.909,0.906,0.841,0.931,0.861,0.903,0.917,0.72,0.857,0.928,0.879,0.8,0.846,0.866,0.844,0.86,0.839,0.835,0.692,0.937,0.93
SYN_U_,0.933,0.752,0.811,0.912,1.0,0.91,0.713,0.936,0.937,0.935,0.9,0.905,0.843,0.783,0.87,0.653,0.695,0.926,0.86,0.842,0.763,0.731,0.934,0.874,0.854,0.845,0.725,0.853,0.825,0.938,0.923,0.923,0.823,0.873,0.741,0.937,0.806,0.802,0.851,0.912,0.686,0.817,0.832,0.88,0.933,0.896,0.939,0.936,0.685,0.734,0.836,0.865,0.938,0.926,0.789,0.868,0.829,0.94,0.935,0.745,0.84,0.93,0.893,0.807,0.817,0.822,0.822,0.876,0.896,0.818,0.698,0.834,0.938
AS_L_WA_,0.925,0.769,0.834,0.907,0.91,1.0,0.731,0.928,0.93,0.931,0.912,0.965,0.864,0.799,0.853,0.665,0.758,0.9,0.902,0.833,0.788,0.752,0.925,0.862,0.856,0.845,0.755,0.88,0.862,0.924,0.929,0.929,0.838,0.893,0.775,0.94,0.827,0.779,0.839,0.909,0.713,0.847,0.824,0.896,0.931,0.902,0.938,0.931,0.677,0.765,0.857,0.899,0.934,0.937,0.787,0.883,0.86,0.931,0.937,0.772,0.854,0.929,0.888,0.802,0.821,0.858,0.865,0.905,0.882,0.888,0.72,0.867,0.929
BBS_S_BK_,0.651,0.893,0.7,0.694,0.713,0.731,1.0,0.75,0.738,0.721,0.721,0.699,0.67,0.622,0.614,0.594,0.92,0.668,0.673,0.609,0.955,0.918,0.734,0.608,0.656,0.633,0.702,0.74,0.701,0.763,0.726,0.746,0.644,0.75,0.959,0.739,0.58,0.608,0.643,0.71,0.727,0.566,0.654,0.699,0.737,0.667,0.756,0.747,0.352,0.951,0.678,0.735,0.741,0.731,0.64,0.755,0.642,0.745,0.728,0.905,0.693,0.74,0.624,0.572,0.697,0.663,0.648,0.639,0.685,0.671,0.644,0.715,0.748
SS_S_LT_,0.884,0.776,0.833,0.909,0.936,0.928,0.75,1.0,0.992,0.977,0.885,0.92,0.842,0.723,0.823,0.661,0.753,0.882,0.904,0.805,0.813,0.754,0.981,0.829,0.848,0.824,0.712,0.832,0.842,0.991,0.982,0.984,0.844,0.871,0.787,0.991,0.77,0.78,0.814,0.909,0.667,0.77,0.841,0.87,0.981,0.903,0.991,0.992,0.623,0.782,0.842,0.867,0.991,0.962,0.793,0.89,0.826,0.992,0.98,0.778,0.849,0.987,0.86,0.756,0.838,0.834,0.827,0.88,0.899,0.79,0.624,0.854,0.975
SS_F_LT_,0.891,0.734,0.825,0.907,0.937,0.93,0.738,0.992,1.0,0.975,0.874,0.927,0.837,0.719,0.819,0.652,0.75,0.89,0.878,0.807,0.79,0.753,0.975,0.824,0.82,0.821,0.712,0.827,0.833,0.994,0.981,0.982,0.844,0.868,0.75,0.992,0.772,0.757,0.795,0.904,0.668,0.771,0.839,0.869,0.97,0.874,0.992,0.995,0.498,0.777,0.841,0.864,0.992,0.968,0.787,0.886,0.816,0.994,0.98,0.736,0.852,0.986,0.848,0.757,0.836,0.826,0.816,0.856,0.896,0.788,0.633,0.846,0.982
BS_F_FT_,0.884,0.74,0.819,0.913,0.935,0.931,0.721,0.977,0.975,1.0,0.858,0.922,0.833,0.714,0.816,0.649,0.736,0.891,0.887,0.803,0.769,0.743,0.965,0.821,0.806,0.812,0.709,0.812,0.826,0.982,0.983,0.957,0.832,0.876,0.752,0.978,0.78,0.744,0.785,0.894,0.669,0.764,0.819,0.87,0.962,0.877,0.984,0.983,0.482,0.76,0.845,0.857,0.977,0.97,0.788,0.883,0.809,0.976,0.967,0.715,0.85,0.968,0.856,0.754,0.837,0.831,0.819,0.848,0.898,0.786,0.635,0.843,0.974
