,CU_R_WA_,SJ_RT_,SS_S_LT_,TB_S_,BS_F_BK_,SB_R_WA_,TF_S_,CU_R_NA_,TR_F_,SYN_U_,TR_S_,RV_R_F_,SS_F_RT_,TB_F_FB_,BBS_S_FT_,SJ_BK_,BA_R_WA_,TL_F_,TL_S_,TB_S_FB_,SYN_K_,BS_S_BK_,RV_R_S_,TOS_F_,BBS_S_BK_,BS_S_RT_,LU_F_dis_,LD_S_small_,BJ_LT_,BBS_F_BK_,BS_S_LT_,SB_R_NA_,SJ_FT_,SS_F_BK_,SS_S_BK_,AR_,SS_S_RT_,SYN_B_,TOS_S_,SJ_LT_,BSS_F_BK_,SYN_S_,BBS_F_FT_,BJ_BK_,LU_S_big_,SYN_R_,SS_F_FT_,SS_F_LT_,SS_S_FT_,LD_S_dis_,BSS_S_FT_,AS_L_WA_,BS_F_LT_,LU_F_big_,BSS_F_FT_,BS_F_RT_,FR_R_NA_,LU_S_dis_,TF_F_,BJ_RT_,UP,BA_R_NA_,BJ_FT_,AS_L_NA_,CH_,EF_,FR_R_WA_,BSS_S_BK_,BS_F_FT_,LD_F_small_,TA_,BS_S_FT_,LD_F_dis_
CU_R_WA_,1.0,0.911,0.866,0.769,0.868,0.861,0.832,0.852,0.835,0.873,0.829,0.809,0.873,0.761,0.764,0.883,0.867,0.816,0.797,0.75,0.771,0.868,0.82,0.826,0.745,0.87,0.827,0.815,0.898,0.78,0.868,0.846,0.881,,0.872,0.835,0.868,0.679,0.801,0.91,,0.849,0.777,0.878,0.809,0.882,,0.867,0.875,0.832,0.771,0.892,0.86,0.835,,0.879,0.823,0.787,0.832,0.877,0.725,0.86,0.876,0.873,0.897,0.87,0.853,0.771,0.87,0.846,0.837,,0.83
SJ_RT_,0.911,1.0,0.873,0.751,0.859,0.847,0.843,0.881,0.783,0.885,0.834,0.837,0.874,0.663,0.756,0.846,0.853,0.75,0.77,0.721,0.694,0.863,0.852,0.745,0.726,0.895,0.781,0.863,0.819,0.757,0.863,0.81,0.786,,0.898,0.837,0.892,0.516,0.8,0.817,,0.835,0.752,0.848,0.846,0.88,,0.87,0.9,0.895,0.752,0.918,0.854,0.783,,0.882,0.86,0.841,0.774,0.936,0.682,0.824,0.784,0.869,0.886,0.88,0.856,0.753,0.875,0.816,0.825,,0.871
SS_S_LT_,0.866,0.873,1.0,0.727,0.979,0.819,0.838,0.871,0.734,0.926,0.795,0.83,0.989,0.646,0.779,0.9,0.819,0.756,0.789,0.69,0.764,0.979,0.842,0.767,0.777,0.971,0.83,0.835,0.838,0.804,0.984,0.822,0.895,,0.99,0.814,0.99,0.589,0.799,0.889,,0.924,0.806,0.919,0.821,0.957,,0.989,0.989,0.901,0.809,0.92,0.979,0.791,,0.979,0.807,0.846,0.758,0.822,0.682,0.81,0.844,0.913,0.853,0.871,0.894,0.781,0.975,0.825,0.823,,0.882
TB_S_,0.769,0.751,0.727,1.0,0.739,0.73,0.833,0.763,0.784,0.742,0.783,0.748,0.732,0.845,0.781,0.785,0.754,0.771,0.796,0.85,0.647,0.731,0.779,0.786,0.711,0.735,0.758,0.789,0.74,0.759,0.731,0.752,0.798,,0.722,0.722,0.726,0.604,0.796,0.748,,0.723,0.779,0.78,0.748,0.757,,0.729,0.725,0.75,0.738,0.773,0.742,0.754,,0.745,0.758,0.752,0.794,0.75,0.678,0.734,0.786,0.785,0.771,0.763,0.811,0.745,0.724,0.762,0.728,,0.804
BS_F_BK_,0.868,0.859,0.979,0.739,1.0,0.817,0.836,0.875,0.732,0.926,0.807,0.836,0.964,0.646,0.763,0.9,0.817,0.744,0.788,0.705,0.73,0.985,0.849,0.764,0.763,0.958,0.837,0.847,0.849,0.751,0.959,0.818,0.866,,0.981,0.823,0.978,0.449,0.802,0.873,,0.911,0.726,0.901,0.826,0.957,,0.969,0.981,0.9,0.795,0.924,0.95,0.78,,0.955,0.811,0.847,0.759,0.822,0.678,0.803,0.851,0.917,0.846,0.872,0.88,0.783,0.953,0.791,0.837,,0.881
SB_R_WA_,0.861,0.847,0.819,0.73,0.817,1.0,0.836,0.851,0.79,0.815,0.78,0.77,0.814,0.73,0.694,0.855,0.894,0.841,0.816,0.702,0.702,0.825,0.803,0.834,0.665,0.806,0.836,0.884,0.884,0.697,0.836,0.921,0.851,,0.815,0.88,0.816,0.61,0.789,0.872,,0.799,0.681,0.863,0.877,0.825,,0.821,0.813,0.874,0.684,0.849,0.839,0.854,,0.818,0.807,0.866,0.836,0.813,0.703,0.867,0.835,0.826,0.839,0.812,0.845,0.676,0.825,0.878,0.887,,0.871
TF_S_,0.832,0.843,0.838,0.833,0.836,0.836,1.0,0.855,0.823,0.831,0.779,0.802,0.838,0.74,0.727,0.872,0.859,0.9,0.896,0.724,0.715,0.84,0.823,0.844,0.7,0.833,0.823,0.823,0.835,0.728,0.847,0.839,0.861,,0.834,0.792,0.84,0.653,0.873,0.855,,0.799,0.738,0.87,0.809,0.834,,0.839,0.835,0.875,0.734,0.852,0.847,0.805,,0.842,0.837,0.845,0.926,0.812,0.677,0.845,0.858,0.887,0.841,0.853,0.854,0.702,0.841,0.815,0.806,,0.882
CU_R_NA_,0.852,0.881,0.871,0.763,0.875,0.851,0.855,1.0,0.84,0.92,0.854,0.805,0.884,0.783,0.708,0.88,0.872,0.846,0.816,0.813,0.729,0.875,0.809,0.835,0.694,0.872,0.841,0.774,0.873,0.732,0.875,0.865,0.871,,0.877,0.796,0.882,0.649,0.843,0.867,,0.853,0.747,0.885,0.764,0.876,,0.878,0.881,0.82,0.724,0.889,0.867,0.815,,0.877,0.924,0.779,0.856,0.853,0.663,0.906,0.869,0.888,0.917,0.942,0.868,0.727,0.881,0.822,0.793,,0.845
TR_F_,0.835,0.783,0.734,0.784,0.732,0.79,0.823,0.84,1.0,0.792,0.907,0.767,0.737,0.682,0.667,0.786,0.748,0.704,0.77,0.741,0.678,0.726,0.798,0.783,0.632,0.732,0.763,0.829,0.732,0.659,0.751,0.806,0.795,,0.723,0.749,0.727,0.49,0.805,0.773,,0.735,0.684,0.781,0.834,0.732,,0.735,0.724,0.844,0.647,0.811,0.751,0.779,,0.747,0.798,0.798,0.754,0.747,0.7,0.781,0.767,0.797,0.822,0.806,0.799,0.647,0.728,0.789,0.721,,0.835
SYN_U_,0.873,0.885,0.926,0.742,0.926,0.815,0.831,0.92,0.792,1.0,0.826,0.808,0.933,0.712,0.722,0.9,0.829,0.817,0.786,0.711,0.786,0.926,0.835,0.813,0.74,0.933,0.838,0.817,0.866,0.781,0.923,0.823,0.888,,0.932,0.816,0.931,0.659,0.838,0.88,,0.906,0.774,0.904,0.808,0.918,,0.932,0.932,0.88,0.762,0.901,0.916,0.835,,0.924,0.855,0.825,0.796,0.851,0.677,0.864,0.884,0.896,0.871,0.922,0.844,0.76,0.93,0.838,0.808,,0.866
